Snapshot 2000 saved, average loss: 172.78231601, average time: 1.69116896999                                                                              
Snapshot 4000 saved, average loss: 90.7552269268, average time: 1.72747287095                                                                             
Snapshot 6000 saved, average loss: 88.1748430691, average time: 1.62026813257                                                                             
Snapshot 8000 saved, average loss: 86.4828220062, average time: 1.721761747                                                                               
Snapshot 10000 saved, average loss: 85.1191679668, average time: 1.6199964025                                                                             
Snapshot 12000 saved, average loss: 83.9686413517, average time: 1.69927514696                                                                            
Snapshot 14000 saved, average loss: 83.0128027859, average time: 1.77430681098                                                                            
Snapshot 16000 saved, average loss: 82.3643205204, average time: 1.66093436253                                                                            
Snapshot 18000 saved, average loss: 81.8168647175, average time: 1.67415120804                                                                            
Snapshot 20000 saved, average loss: 81.2122767944, average time: 1.72993976152                                                                            
Snapshot 22000 saved, average loss: 80.7479846992, average time: 1.58830594349                                                                            
Snapshot 24000 saved, average loss: 80.7320738106, average time: 1.66409424341                                                                            
Snapshot 26000 saved, average loss: 80.0325621948, average time: 1.63556148601                                                                            
Snapshot 28000 saved, average loss: 79.6949498463, average time: 1.68206901801                                                                            
Snapshot 30000 saved, average loss: 79.4949790611, average time: 1.70258819556                                                                            
Snapshot 32000 saved, average loss: 79.3959022522, average time: 1.75363158047                                                                            
Snapshot 34000 saved, average loss: 79.335619709, average time: 1.688423455                                                                               
Snapshot 36000 saved, average loss: 79.0777595768, average time: 1.70685080695                                                                            
Snapshot 38000 saved, average loss: 78.6751548157, average time: 1.71323131859                                                                            
Snapshot 40000 saved, average loss: 78.5398655968, average time: 1.73448065746                                                                            
Snapshot 42000 saved, average loss: 78.4125211773, average time: 1.71851633644                                                                            
Snapshot 44000 saved, average loss: 78.2057088833, average time: 1.68324671304                                                                            
Snapshot 46000 saved, average loss: 77.8726080723, average time: 1.76918940651                                                                            
Snapshot 48000 saved, average loss: 78.122642271, average time: 1.72412510598                                                                             
Snapshot 50000 saved, average loss: 77.8354656601, average time: 1.58128830755                                                                            
Snapshot 52000 saved, average loss: 77.9283395271, average time: 1.70968642998                                                                            
Snapshot 54000 saved, average loss: 77.1638666878, average time: 1.63358373201                                                                            
Snapshot 56000 saved, average loss: 77.2601614094, average time: 1.68011059344                                                                            
Snapshot 58000 saved, average loss: 77.3235167313, average time: 1.69567422259                                                                            
Snapshot 60000 saved, average loss: 76.838461134, average time: 1.74222689593

Snapshot 62000 saved, average loss: 76.8320786991, average time: 1.64484827852                                                                            
Snapshot 64000 saved, average loss: 77.0515853443, average time: 1.74828501952                                                                            
Snapshot 66000 saved, average loss: 76.4582279835, average time: 1.72436991501                                                                            
Snapshot 68000 saved, average loss: 76.6086780777, average time: 1.85135967445                                                                            
Snapshot 70000 saved, average loss: 76.2549366684, average time: 1.65687304151                                                                            
Snapshot 72000 saved, average loss: 76.3502025146, average time: 1.72243542099                                                                            
Snapshot 74000 saved, average loss: 76.0931836739, average time: 1.64515497053                                                                            
Snapshot 76000 saved, average loss: 76.2093968487, average time: 1.63670817506                                                                            
Snapshot 78000 saved, average loss: 76.153770401, average time: 1.66339653397                                                                             
Snapshot 80000 saved, average loss: 76.0062162571, average time: 1.75912293148                                                                            
Snapshot 82000 saved, average loss: 76.208775835, average time: 1.73327932894                                                                             
Snapshot 84000 saved, average loss: 75.7818255444, average time: 1.670546839                                                                              
Snapshot 86000 saved, average loss: 76.0590705891, average time: 1.68427980804                                                                            
Snapshot 88000 saved, average loss: 75.7628525753, average time: 1.64617916501                                                                            
Snapshot 90000 saved, average loss: 75.8124353924, average time: 1.67047655797                                                                            
Snapshot 92000 saved, average loss: 75.6561888542, average time: 1.75066038907                                                                            
Snapshot 94000 saved, average loss: 76.2125221806, average time: 1.66641665792                                                                            
Snapshot 96000 saved, average loss: 75.4386271515, average time: 1.7356513871                                                                             
Snapshot 98000 saved, average loss: 75.2319625149, average time: 1.69273112643                                                                            
Snapshot 100000 saved, average loss: 75.2042800236, average time: 1.76856457102                                                                           
Snapshot 102000 saved, average loss: 75.3270627823, average time: 1.76167100346                                                                           
Snapshot 104000 saved, average loss: 75.6955657749, average time: 1.66551714957                                                                           
Snapshot 106000 saved, average loss: 75.3857026291, average time: 1.74416234791                                                                           
Snapshot 108000 saved, average loss: 74.9660098515, average time: 1.64269311059                                                                           
Snapshot 110000 saved, average loss: 74.8796575203, average time: 1.73681096292                                                                           
Snapshot 112000 saved, average loss: 75.5863776054, average time: 1.65771152103                                                                           
Snapshot 114000 saved, average loss: 75.0648207512, average time: 1.69749024355                                                                           
Snapshot 116000 saved, average loss: 75.1022320347, average time: 1.63221826148                                                                           
Snapshot 118000 saved, average loss: 75.2832002392, average time: 1.67705105996        

Snapshot 120000 saved, average loss: 74.5068622761, average time: 1.64725719702                                                                           
Snapshot 122000 saved, average loss: 74.7047968636, average time: 1.61807495153                                                                           
